小米手机五百优慧卷：【 yhh.在线/6m 】复￥制括号内内容。到浏￥览器中￥打开领取，先说坏的，很容易沾指纹不过也非常容易擦掉，有点偏重(看参数大概四百多克?)比一般的重，不过我个人喜欢稍微重点的，感觉有质感，后壳的缝试过，的确能把纸插进去但是也没那么夸张，不仔细特意去看也不到什么，拍照还没感受，不过随便拍了下，夜景的确不咋样，白天还好，毕竟不是主打拍照的，另外预存软件有点多二三十几个，再说好的方面，陶瓷机身手感真的好，不过如果手很干的话也真的很滑，6G运存指纹解锁和运行速度很快(可以看视频感受下)，十几个后台都不卡也不会刷新，玩了下狂野飙车8 王者荣耀 纪念碑谷和暗影格斗，一点也不卡很流畅，不怎么发热可能也就高了那么度把两度吧还不错，外放音的话不是专业听歌的，感觉还不错了，如果更多想要自拍不建议买米6，如果玩游戏或者娱乐，那么这款值得推荐，总体来说，真的是物有所值，不要再跟五六千的手机比了，这只有三千！一分钱一分货！米6总体感觉不错，100分我给80分，这是我使用后的感想以及感受，剩下的看你们自己考虑和了解了，希望能帮到你们,,2017-11-24 16:00:35,来自京东Android客户端,6GB 128GB,陶瓷黑,金牌会员
一级棒，一直想入手的，可是一直没有货，这次有货果断下手，现在一个6s一个6超级棒！支持小米,,2017-12-01 13:01:21,来自京东iPhone客户端,6GB 128GB,陶瓷黑,PLUS会员
用了几天了，总体来说，骁龙835的性能还是很强大的，不过，我开性能模式跑分十四万多？excuse  me  ？ 可能是因为6+64的原因，所以不是十八万。不过呢，王者荣耀绰绰有余，发热情况也很好，充电很快，虽然我没有准确记过，但平平常常玩点游戏用一整天还有40%多，续航完全没问题，以上是一小部分优点，缺点呢，WIFI老断，贼伤，2x2的双路WIFI确实很爽，我房间离路由器最远，以前手机是一两格信号，现在mi 6 是三到四格信号，速度很快，但有时候偶尔断掉，连都连不上。重启倒是没有。摄像头方面的话，这个双摄不是最好但是很好，只是，有一个功能，四轴防抖，并没有想象中的那么好，开车拍照轻微抖动还是使照片有些模糊，无奈删掉，重新拍。美化做得很到位。以上就是小米6小部分的优点与缺点，用户体验方面，我个人感觉很不错，网上那些插得进去纸片的小米6我这儿没有，手机很漂亮，只是WIFI不要老是断就好了，贼伤。,,2017-06-13 08:23:13,来自京东Android客户端,6GB 64GB,亮黑色,银牌会员
玩了十天说说我的体验感受。亮点是:处理器和运存彪悍。打开软件秒开，不存在杀后台想象，这个比较好。好多人反应音质和相机比较渣，这个得讨论一下，七月份我买了一台米6音质和拍照烂到无敌，外音放大了还震手。可是现在我感到音质和拍照出奇的好，特别是外音很有立体声感觉，让人听了上瘾，拍照也很清晰，超过了小米5s不知道是怎么回事？难道改了配件。也有人吐槽没有耳机插孔，我觉得这是一种趋势，以后的主流手机可能都得取消耳机孔。不信3、5年后回来挖坟。又不是天天抱着耳机听歌有个转接头就可以了。而且指纹识别比5s好了很多，当然和华为p10的指纹解锁比还有一定的差距，这可能是为了节约成本。后背的玻璃比较好，看似很滑其实拿在手里还防滑。下面我说说它的缺点:第一手机太重，玩的时间长了手很累。要是换成铝合金的中框就好了，不知雷军怎么想的？屏幕雷军大书特书什么护眼屏，其实很烂，偏黄有的还有拖影。远远不如小米5s。还有后背有缝隙。有的能塞纸，这个要看运气，有的可能没有，有概率的。不过戴手机套后也感觉不到。这就是小米6的优缺点，希望你买的时候对你有帮助。可以参考一下。附几张拍的照片,玩着很不错，就是有点重。其他都不错，流畅的很。比苹果手机好多了。miui8也很快。,2017-11-12 19:13:22,来自京东Android客户端,6GB 64GB,亮黑色,银牌会员
第一次用小米手机，所以挺好奇的。下单后手机隔天就到了。手机盒及里面详情看图。以下是使用半个多月后的感受。835+6g运存确实强悍，大多日常应用是秒开的，玩大型游戏时切回桌面再切回游戏特别顺畅，不影响游戏进程。日常使用基本没出现高温情况，即使充电玩王者也只是有点温温的感觉。wifi抢速度能力确实牛，并且我这台手机没出现断流问题，系统是8.5稳定版。有缝隙但是很小，个人觉得在合理范围内。续航很满意，国庆期间出去玩，早上都是满电或者接近满电出门，期间都是用这手机导航，全程开gps，晚上回来后还可以打几把王者，中度使用一天一充是没问题的，快充速度也是出乎意料的快，非常满意！音质感觉中规中矩，转接线就成了出门必备，只能说习惯就好。拍照自动模式下白天是完全没问题的，对焦也特别快，图是2倍变焦拍的丹霞山的阳元石。夜间噪点就非常多了，严重影响观感。5.15单手是非常合适的，这点比较满意。米6不带壳拿在手里确实舒服，但致命一点是太滑了，无奈还得带着出厂送的手机壳。总得来说，能以两千多买到这样配置的手机，获得这么优秀的体验是超值的。目前最怕的是贴吧已有出现带官方壳但边框还是掉漆的情况，希望不要中招！,,2017-10-12 01:06:17,来自京东Android客户端,6GB 64GB,亮黑色,银牌会员
丢的一颗星给京东的物流，19号下单到30号收货时间确实长了些。MIUI整体比三星的TouchWiz漂亮不少。6G RAM以及杀后台，清自启，防唤醒压得很死，可以有效抑制国产毒瘤，日常应用丝滑。基本所有应用都有内置广告，但是刷开发版之后可以点掉绝大部分。续航不玩游戏亮屏十小时，基本可以满足重度使用一天的需要。屏幕素质差强人意，斜纹只有贴近到15cm左右才能看得出来，但比起熟悉的2K A屏还是差距明显，需要适应。镜头拍人虚化很准，但暗光下不友好，成片概率低，整体素质一般。可测试的全部游戏都能满帧全高运行，但崩坏3使用过程中存在丢帧和发烫。音质双扬声器外放超过预期，然而内放声场散、糊、底噪比较明显，只能听个响。槽点在于震动反馈，整个机身都有震感，比较清奇，扬声器开大声也是整机一起振，还有就是呼吸灯只有白的。最后谈谈品控：我这台没看到漏光，缝隙也插不了纸，但音量电源键较为松垮。wifi断流在最新的开发版系统中仍然存在，体现为应用商店或者chrome下载600M以上的文件wifi速度会莫名掉成0，点暂停和继续又会接着下，不过概率没高到影响日常使用的程度。整体来说。如果品控不出岔子，这部机器在现阶段真的很值，有超过三千元的素质。字数限制就提这些吧,,2017-05-30 21:54:05,,6GB 64GB,亮黑色,PLUS会员
"我是曾经的米粉，小米2s开始爱上小米，多部2s,小米3，小米note顶配版，直到小米4，机器一直好用，曾经以每次抢到小米新机感到赚大发了，但小米四屏幕的晃动和机器的不耐用让我对小米产生了不信任，还是1999但品质大不如前了，所以小米5开始我放弃了小米。
言归正传，小米6发布了，习惯性的每次都参加抢购，官网抢到过 两次，京东几乎每次都能抢到，但一直没付款，都放弃了，本身现在用着华为mate9pro，担心买来品质一般就是浪费钱了，终究还是冲动，头天抢到陶瓷版，第二天抢到蓝色，犹豫了一下还是选择陶瓷版。
三天货到，赶快打开看看和预期怎么样，说说用两天的感受吧！优点:系统快，手感好，屏幕和系统比小米4强太多太多，触屏感很好信号还行，在地下停车场和我的mate9pro一样有信号，之前用过的三星和苹果信号就没有了。后盖缝隙没网友们说的夸张，但不带套容易进灰尘是存在的。相机效果白天还是不错的，不输华为，夜晚我觉得没必要苛求，手机夜拍都没问题了那单反相机作用就不大了。
缺点:裸奔沾指纹严重，戴套失去了美感，很不好平衡

不黑不水，希望小米在品质上继续加强，我爱回你！",,2017-07-31 10:24:12,来自京东Android客户端,6GB 128GB,陶瓷黑,钻石会员
从刚发布开始抢，到19号终于功德圆满。订单状态显示需要向供应商采购，本来以为要等几天，没想到当天就发货了，按照京东一如既往的速度20号中午就收到了。拿到手迫不及待地体验了一下，没有出现网上说的任何问题。缝隙有些许，但丝毫不影响。屏幕漏光没有，我也不在意。待机续航满意，一晚上待机耗电4%。此外也没有发生自动重启的问题。手感超级棒，颜值也很高。系统极其流畅，归功于835和6g内存吧，对miui的众多功能也很满意。之前用过小米1s以及红米，此后转投荣耀，这回重回米粉行列，感觉棒棒的。手机可能也有稍许缺点，但至少是我用过的，体验过的最棒的手机。一点都不认为比苹果差，特别是在快充和交互上，当然还有我觉得十分实用的双卡双待上。个人喜欢折腾，因此喜欢安卓。希望小米能继续奉献佳作吧，相信国产手机能越做越好。最后奉上几张随手拍的照片，感觉夜拍进步挺大的。,,2017-05-21 21:57:09,来自京东Android客户端,6GB 64GB,亮黑色,PLUS会员
小米6，到手了，然后手感就感觉还是很不错哦，很喜欢，京东就是不错，快递也很快&hellip;&hellip;,,2017-11-17 19:33:55,来自京东Android客户端,4GB+64GB,亮蓝色,银牌会员
4.28首发日抢到的高配版，结果没货，一直到5.6才收到，跟客服数次交涉催促只给了几千京豆补偿，非常不满意。  说说手机，用了十多天对性能、续航、发热各方面都很满意，指纹很灵敏秒解，还支持指纹支付。没有网上传的充电重启、卡顿、死机的现象，屏幕没有漏光，后盖上部有一丝缝隙，用A4纸试了塞不进，下部无缝隙，基本算完美机，玻璃后盖手感特别好，就是不耐划，再就是双摄没有雷军讲得那么好，还需优化。,,2017-05-18 20:21:45,来自京东iPad客户端,6GB 128GB,亮黑色,PLUS会员
"抢了80多天才抢到，不容易啊。
1.配置为当前顶级，价格只有别的同级手机的一半，所以性价比绝对是最高的。
2.电池的闪充很给力，充电一个半小时，就能用两天。
3.指纹识别对手机支付、隐私保密等都有实用价值。
4.大内存，反应速度很快；大容量的硬盘，可以安装很多软件和下载、收藏很多资料，是个袖珍个人电脑。
5.外观无所谓，屏幕显示很不错，清晰度很高
6.相机只要能用于扫一扫，300W像素就足够，可以大大节省成本。
7.bug：网上说的bug，wifi断流、充电重启，两个半月以来没有遇到，但有个bug就是，重启之后自带日历小工具不见了（其他自带小工具没太注意，因为自己只用日历小工具），第三方小工具也不见了，只有重装软件才行，但重启后就又不见了，这个是比较讨厌的
8.系统：系统运行还算很流畅，偶尔会有卡的情况。另外，小米系统自带很多广告，多说虽然可以关掉，但体验不好。
总体来说，性能还是比较强大的，性价比还是很高的，对小米6还是很满意，希望能在5G时代还能用上它。",,2017-11-16 15:16:32,,6GB 128GB,亮黑色,金牌会员
自己用5s，蓝色6送老婆的，质感很好，小米优化系统确实好,,2017-11-26 12:58:58,来自京东Android客户端,4GB+64GB,亮蓝色,金牌会员
