一直想买的iPad终于入手啦！为了买这个还开了plus会员，这个价格很划算。买了非常喜欢的金色，真的很好看！非常棒！开心！,2017-11-02 09:11:53,来自京东Android客户端,128G WLAN版,金色,PLUS会员,
已经核实了东西是真的，还没使用，试了试还不错！终于等到减价了！一直在京东买东西，还会继续关注！,2017-10-03 16:01:29,来自京东iPhone客户端,128G WLAN版,金色,金牌会员,
首先速度很快 昨晚七点多下单 今天九点半不到就到了 很感谢快递杨师傅 查了一下 确实是正品 外壳也没有损坏 还没有实用 美中不足的是 赠送的外壳是分开送的 还没有到 哈哈  很开心,2017-09-24 10:26:10,来自京东Android客户端,128G WLAN版,金色,银牌会员,
感觉是真机正品，6/18下午买的，今天20号送到。真的有看网上一些帖子，说为拆包装之前看透明薄膜可以看出是原装还是后封，我正好买了ipad air和iphone6我很仔细的很仔细的看了好一会儿，我ipad的包装盒是正面真个有很均匀的针孔位排列，不大，一点点。开封后很惊艳本来想要银色的，到就犹豫了一下银色无货了。选的金色，很清薄，手感很好。128G的开封来，内存是124.55G感觉人气很好。还没验证序列号，应该没问题。后续更新，这可是我第一次在京东买ipad和iphone类产品。不过我现在由于iphone6的32G，要不要拆透明薄膜，感觉不是正品( &acute;▽` )? 好纠结,2017-06-20 21:34:03,来自京东Android客户端,128G WLAN版,金色,金牌会员,
非常好，全新正品，信赖京东！等了两天终于有货了，功能方面还不太懂，慢慢摸索吧，很满意！,2017-11-14 20:34:06,来自京东Android客户端,128G WLAN版,金色,金牌会员,
赶上京东实惠价，杉伊八八元买的，后面降了价，电话联系客服退了一百的差价，很厚道，以后电子产品基本在京东自营买了，服务太好了，顺便说一下ipad用了几天了，没什么问题。,2017-11-07 21:33:11,来自京东iPhone客户端,128G WLAN版,金色,钻石会员,
"这个就真的有必要说一下。我是八月十号之前买的。用了一天晚上充电发现有一个亮点。都大半夜了也就没有联系客服。那一晚上啊就真是闹心啊。心里想想好不容易买一个平板，居然还有一个亮点。第二天一早就给客服发信息。别人没有上班，等吧。九点多钟吧，跟客服联系发图以后，客服直接让我跟京东客服联系。京东客服这边很快就指引如何进行换货处理。因为当天在上班，担心京东上门收件人来了我不在家。就约定第三天也就是这个星期一上门收货。京东快递小哥上门收件以后用pos机类似的东西扫描以后给我一张回执单。然后就拿着东西走了。过程非常认真负责。
      第二天晚上就接到京东客服电话，告知检测确实有一个坏点。我们这边可以给你退货或者是换货。我因为还是想用，就要求换货。客服反复沟通说，因为换的货是新货，京东这边也不能拆开检测质量，不能保证是否有问题。你这边收到货后，7天仍可以无条件退货。14天仍可以换货。有这样的服务那还纠结撒。我就跟客服说，我不相信自己运气那么差，万一不行我就再换货。客服笑着说可以。当天就下单换货。昨天下午收到货。我仔细按照网上的检测方式检查了一下。放心了，屏幕没有亮点。一切OK。谢谢京东的认真服务。",2017-08-18 12:38:06,来自京东Android客户端,128G WLAN版,金色,金牌会员,
查询了序列号，是新机！非常棒！双十一秒杀，价格划算，用来准备考研和司法考试哒！,2017-11-13 20:20:27,来自京东iPhone客户端,128G WLAN版,金色,金牌会员,
"一、老爸阅读看报偶尔跟亲戚微信、父母看个剧，自己在家使用garageband、音乐备忘录等基本不追求屏幕素质的应用，所以这款合适。追求apple pencil和绘画设计等屏幕要求高的还是pro吧。
二、如何验证是不是新品、有没有被激活使用过。
网传二*东有风险，虽然前几次买的手机都安然无恙，但就怕这次翻车了。所以按照网上指导的方法再收货后开始了验证：
1、先不要拆封，在盒子后面下方的贴纸第一行就是型号，型号那里有CH字样的就是国行了。
2、再往下有个serial字样的是序列号，所以不用开机也能知道该设备的序列号了。
3、电脑或手机打开浏览器去苹果官网或者威锋网：
（1）、苹果官网那里找到技术支持一栏，点进去找到&ldquo;我的产品是不是在保修期内&rdquo;这一块，点进去后就可以输入序列号查询了。显示其型号以及是否享有国家消费者政策的信息，保修期是无法显示的。我的就是这样。意外发现苹果称这款为第五代ipad。
（2、）去威锋网（feng点com）首页就有苹果产品查询固件越狱一栏红字，点进去序列号查询，显示未激活未注册。
我开机激活后再去苹果查询就会显示保修期间和电话支持期限，在威锋网查询到了激活日期。
买",2017-06-19 14:22:12,来自京东iPhone客户端,128G WLAN版,金色,PLUS会员,
IPad很大很清晰，京东发货速度也快！刚拿到手就下载了很多软件，这次京东双十一活动优惠力度大，买电子产品一直信赖京东！！！iPad运行起来也很快，这次购物很满意！！！,2017-11-10 16:12:28,来自京东iPhone客户端,128G WLAN版,金色,PLUS会员,
